lmr_id,fy_qtr,cat_type,category,subcategory,netsales,litres,created_at
17,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,173628845,52236010,2025-06-17T02:36:14Z
22,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,16988008,3927908,2025-06-17T02:36:14Z
27,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,32389411,9094263,2025-06-17T02:36:14Z
32,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,15818440,4378195,2025-06-17T02:36:14Z
37,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,169352,25073,2025-06-17T02:36:14Z
42,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,2801993,862782,2025-06-17T02:36:14Z
47,FY2016Q1,Beer,Import Beer,Asia And South Pacific Beer,1759035,382897,2025-06-17T02:36:14Z
52,FY2016Q1,Beer,Import Beer,Europe Beer,25807050,5826618,2025-06-17T02:36:14Z
57,FY2016Q1,Beer,Import Beer,Mexico And Caribbean Beer,13619467,2822927,2025-06-17T02:36:14Z
62,FY2016Q1,Beer,Import Beer,Other Country Beer,38914,9198,2025-06-17T02:36:14Z
67,FY2016Q1,Beer,Import Beer,USA Beer,13395399,3040773,2025-06-17T02:36:14Z
72,FY2016Q1,Refreshment Beverages,Cider,Domestic Cider,14689272,3970864,2025-06-17T02:36:14Z
77,FY2016Q1,Refreshment Beverages,Cider,Import Cider,5718579,1244269,2025-06-17T02:36:14Z
82,FY2016Q1,Refreshment Beverages,Coolers,Malt-Based Coolers,6516653,1475487,2025-06-17T02:36:14Z
87,FY2016Q1,Refreshment Beverages,Coolers,Spirit Coolers,22514801,5359139,2025-06-17T02:36:14Z
92,FY2016Q1,Refreshment Beverages,Coolers,Wine/Fruit Coolers,1008407,200692,2025-06-17T02:36:14Z
97,FY2016Q1,Spirits,Asian Spirits,China Spirits,677963,7408,2025-06-17T02:36:14Z
102,FY2016Q1,Spirits,Asian Spirits,Korea Spirits,526653,29884,2025-06-17T02:36:14Z
107,FY2016Q1,Spirits,Asian Spirits,Other Country Asian Spirits,62574,1960,2025-06-17T02:36:14Z
112,FY2016Q1,Spirits,Gin,Dry Gin,9282504,359331,2025-06-17T02:36:14Z
117,FY2016Q1,Spirits,Gin,Flavoured Gin,287913,10437,2025-06-17T02:36:14Z
122,FY2016Q1,Spirits,Gin,Other Gin,140351,3504,2025-06-17T02:36:14Z
127,FY2016Q1,Spirits,Grape and Fruit Brandy,Armagnac,24738,355,2025-06-17T02:36:14Z
132,FY2016Q1,Spirits,Grape and Fruit Brandy,Brandy,1956349,82729,2025-06-17T02:36:14Z
137,FY2016Q1,Spirits,Grape and Fruit Brandy,Cognac,1727156,12892,2025-06-17T02:36:14Z
142,FY2016Q1,Spirits,Grape and Fruit Brandy,Eau de Vie,182657,4095,2025-06-17T02:36:14Z
147,FY2016Q1,Spirits,Grape and Fruit Brandy,Grappa And Marc,58927,1206,2025-06-17T02:36:14Z
152,FY2016Q1,Spirits,Grape and Fruit Brandy,Pisco,54533,1599,2025-06-17T02:36:14Z
157,FY2016Q1,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,5295987,187837,2025-06-17T02:36:14Z
162,FY2016Q1,Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1314002,54685,2025-06-17T02:36:14Z
167,FY2016Q1,Spirits,Liqueurs,Cream/Dairy Liqueurs,5320126,216346,2025-06-17T02:36:14Z
172,FY2016Q1,Spirits,Liqueurs,Fruit Liqueurs,3817997,148449,2025-06-17T02:36:14Z
177,FY2016Q1,Spirits,Liqueurs,Nut Liqueurs,1480347,64648,2025-06-17T02:36:14Z
182,FY2016Q1,Spirits,Liqueurs,Other Liqueurs,463766,17976,2025-06-17T02:36:14Z
187,FY2016Q1,Spirits,Liqueurs,Whiskey Liqueurs,1258669,41412,2025-06-17T02:36:14Z
192,FY2016Q1,Spirits,Other Spirits,Cachaca,39928,1318,2025-06-17T02:36:14Z
197,FY2016Q1,Spirits,Other Spirits,Flavoured Spirits,449749,9556,2025-06-17T02:36:14Z
202,FY2016Q1,Spirits,Other Spirits,Miscellaneous/Other Spirits,304040,11659,2025-06-17T02:36:14Z
207,FY2016Q1,Spirits,Other Spirits,Moonshine Spirits,196054,5558,2025-06-17T02:36:14Z
212,FY2016Q1,Spirits,Other Spirits,Ready to Mix Cocktails,725366,37214,2025-06-17T02:36:14Z
217,FY2016Q1,Spirits,Other Spirits,Ready to Serve Cocktails,503905,26253,2025-06-17T02:36:14Z
222,FY2016Q1,Spirits,Other Spirits,Schnapps and Akvavit,39950,1122,2025-06-17T02:36:14Z
227,FY2016Q1,Spirits,Rum,Amber Rum,5161001,197968,2025-06-17T02:36:14Z
232,FY2016Q1,Spirits,Rum,Dark Rum,2593454,102907,2025-06-17T02:36:14Z
237,FY2016Q1,Spirits,Rum,Flavoured Rum,237595,9976,2025-06-17T02:36:14Z
242,FY2016Q1,Spirits,Rum,Spiced Rum,7162043,264004,2025-06-17T02:36:14Z
247,FY2016Q1,Spirits,Rum,White Rum,7753022,329469,2025-06-17T02:36:14Z
252,FY2016Q1,Spirits,Tequila,Blanco/Silver Tequila,1788367,48557,2025-06-17T02:36:14Z
257,FY2016Q1,Spirits,Tequila,Flavoured Tequila,96775,2695,2025-06-17T02:36:14Z
262,FY2016Q1,Spirits,Tequila,Gold Tequila,4677523,141023,2025-06-17T02:36:14Z
267,FY2016Q1,Spirits,Tequila,Mezcal,87480,1388,2025-06-17T02:36:14Z
272,FY2016Q1,Spirits,Vodka,Flavoured Vodka,3190164,122320,2025-06-17T02:36:14Z
277,FY2016Q1,Spirits,Vodka,Straight Vodka,46791552,1898311,2025-06-17T02:36:14Z
282,FY2016Q1,Spirits,Whisky,American Whiskey,2049406,64982,2025-06-17T02:36:14Z
287,FY2016Q1,Spirits,Whisky,Blended Malt Scotch Whisky,48920,590,2025-06-17T02:36:14Z
292,FY2016Q1,Spirits,Whisky,Blended Scotch Whisky,6750987,242342,2025-06-17T02:36:14Z
297,FY2016Q1,Spirits,Whisky,Bourbon Whiskey,2309881,65814,2025-06-17T02:36:14Z
302,FY2016Q1,Spirits,Whisky,Canadian Whisky,23963353,984616,2025-06-17T02:36:14Z
307,FY2016Q1,Spirits,Whisky,Flavoured Whisky,0,0,2025-06-17T02:36:14Z
312,FY2016Q1,Spirits,Whisky,Irish Whiskey,1778510,53275,2025-06-17T02:36:14Z
317,FY2016Q1,Spirits,Whisky,Other Country Whisky,148700,1663,2025-06-17T02:36:14Z
322,FY2016Q1,Spirits,Whisky,Single Malt Scotch Whisky,6859677,96202,2025-06-17T02:36:14Z
327,FY2016Q1,Wine,Argentina Wine,Argentina Red Wine,8244914,592789,2025-06-17T02:36:14Z
332,FY2016Q1,Wine,Argentina Wine,Argentina Rose Wine,113618,8962,2025-06-17T02:36:14Z
