fy_qtr,fyr,qtr,end_qtr,end_qtr_dt,cyr,season,cqtr,created_at
FY2016Q1,2016,Q1,06-30,2015-06-30,2015,summer,Q2,2025-06-17T02:38:37Z
FY2016Q2,2016,Q2,09-30,2015-09-30,2015,summer,Q3,2025-06-17T02:38:37Z
FY2016Q3,2016,Q3,12-31,2015-12-31,2015,winter,Q4,2025-06-17T02:38:37Z
FY2016Q4,2016,Q4,03-31,2016-03-31,2016,winter,Q1,2025-06-17T02:38:37Z
FY2017Q1,2017,Q1,06-30,2016-06-03,2016,summer,Q2,2025-06-17T02:38:37Z
FY2017Q2,2017,Q2,09-30,2016-09-30,2016,summer,Q3,2025-06-17T02:38:37Z
FY2017Q3,2017,Q3,12-31,2016-12-31,2016,winter,Q4,2025-06-17T02:38:37Z
FY2017Q4,2017,Q4,03-31,2017-03-31,2017,winter,Q1,2025-06-17T02:38:37Z
FY2018Q1,2018,Q1,06-30,2017-06-30,2017,summer,Q2,2025-06-17T02:38:37Z
FY2018Q2,2018,Q2,09-30,2017-09-30,2017,summer,Q3,2025-06-17T02:38:37Z
FY2018Q3,2018,Q3,12-31,2017-12-31,2017,winter,Q4,2025-06-17T02:38:37Z
FY2018Q4,2018,Q4,03-31,2018-03-31,2018,winter,Q1,2025-06-17T02:38:37Z
FY2019Q1,2019,Q1,06-30,2018-06-30,2018,summer,Q2,2025-06-17T02:38:37Z
FY2019Q2,2019,Q2,09-30,2018-09-30,2018,summer,Q3,2025-06-17T02:38:37Z
FY2019Q3,2019,Q3,12-31,2018-12-31,2018,winter,Q4,2025-06-17T02:38:37Z
FY2019Q4,2019,Q4,03-31,2019-03-31,2019,winter,Q1,2025-06-17T02:38:37Z
FY2020Q1,2020,Q1,06-30,2019-06-30,2019,summer,Q2,2025-06-17T02:38:37Z
FY2020Q2,2020,Q2,09-30,2019-09-30,2019,summer,Q3,2025-06-17T02:38:37Z
FY2020Q3,2020,Q3,12-31,2019-12-31,2019,winter,Q4,2025-06-17T02:38:37Z
FY2020Q4,2020,Q4,03-31,2020-03-31,2020,winter,Q1,2025-06-17T02:38:37Z
FY2021Q1,2021,Q1,06-30,2020-06-30,2020,summer,Q2,2025-06-17T02:38:37Z
FY2021Q2,2021,Q2,09-30,2020-09-30,2020,summer,Q3,2025-06-17T02:38:37Z
FY2021Q3,2021,Q3,12-31,2020-12-31,2020,winter,Q4,2025-06-17T02:38:37Z
FY2021Q4,2021,Q4,03-31,2021-03-31,2021,winter,Q1,2025-06-17T02:38:37Z
FY2022Q1,2022,Q1,06-30,2021-06-30,2021,summer,Q2,2025-06-17T02:38:37Z
FY2022Q2,2022,Q2,09-30,2021-09-30,2021,summer,Q3,2025-06-17T02:38:37Z
FY2022Q3,2022,Q3,12-31,2021-12-31,2021,winter,Q4,2025-06-17T02:38:37Z
FY2022Q4,2022,Q4,03-31,2022-03-31,2022,winter,Q1,2025-06-17T02:38:37Z
FY2023Q1,2023,Q1,06-30,2022-06-30,2022,summer,Q2,2025-06-17T02:38:37Z
FY2023Q2,2023,Q2,09-30,2022-09-30,2022,summer,Q3,2025-06-17T02:38:37Z
FY2023Q3,2023,Q3,12-31,2022-12-31,2022,winter,Q4,2025-06-17T02:38:37Z
FY2023Q4,2023,Q4,03-31,2023-03-31,2023,winter,Q1,2025-06-17T02:38:37Z
FY2024Q1,2024,Q1,06-30,2023-06-30,2023,summer,Q2,2025-06-17T02:38:37Z
FY2024Q2,2024,Q2,09-30,2023-09-30,2023,summer,Q3,2025-06-17T02:38:37Z
FY2024Q3,2024,Q3,12-31,2023-12-31,2023,winter,Q4,2025-06-17T02:38:37Z
FY2024Q4,2024,Q4,03-31,2024-03-31,2024,winter,Q1,2025-06-17T02:38:37Z
FY2025Q1,2025,Q1,06-30,2024-06-30,2024,summer,Q2,2025-06-17T02:38:37Z
FY2025Q2,2025,Q2,09-30,2024-09-30,2024,summer,Q3,2025-06-17T02:38:37Z
FY2025Q3,2025,Q3,12-31,2024-12-31,2024,winter,Q4,2025-06-17T02:38:37Z
FY2025Q4,2025,Q4,03-31,2025-03-31,2025,winter,Q1,2025-06-17T02:38:37Z
