Category,Product,Fiscal_2023_24_Q4,Fiscal_2024_25_Q1,Fiscal_2024_25_Q2,Fiscal_2024_25_Q3,Fiscal_2024_25_Q4
Domestic - BC Beer,Commercial Beer,99773566,117589922,118276668,101449830,92930598
Domestic - BC Beer,Micro Brew Beer,30325740,37591846,40117682,30778399,28446270
Domestic - BC Beer,Regional Beer,42718258,54648886,55044231,48583767,43736465
Domestic - Other Province Beer,Commercial Beer,33210351,48808745,49459271,36125187,33577344
Domestic - Other Province Beer,Micro Brew Beer,83605,102222,202178,197971,137447
Domestic - Other Province Beer,Regional Beer,424913,555957,516105,465121,494464
Import Beer,Asia And South Pacific Beer,1558737,1770352,1925110,1763191,1660576
Import Beer,Europe Beer,16455461,17999560,18358912,17526825,16594001
Import Beer,Mexico And Caribbean Beer,2087743,2945867,3310361,2230143,1968851
Import Beer,Other Country Beer,615115,647958,716862,660592,617009
Import Beer,USA Beer,448256,615480,525573,253749,179983
